反派小师弟才不是绿茶白莲花,汪尔德,60767,112424,https://rss.sfacg.com/web/account/images/avatars/app/2312/20/b5bd8e79-a9e7-4666-8d63-ed810c42886c.jpg
救赎绝望少女后，我插翅难逃,麟兮,153290,127231,https://rss.sfacg.com/web/account/images/avatars/pc/2409/25/79a16a88-f663-4856-b960-4f2226982a0d.jpg
女主角们请停止攻略我！,徊云曦,58151,110093,https://rss.sfacg.com/web/account/images/avatars/app/2506/09/a4e4494b-e10a-494d-a009-7ef6b5dedfa9.jpg
不好！我成了魔女们的病弱白月光,请问来点巧克力吗,187435,128117,https://rss.sfacg.com/web/account/images/avatars/upload/APP/1510/1444578492223.jpg
恶役少爷，不想再被凤傲天破灭,Farlanders,43769,95653,https://rss.sfacg.com/web/account/images/avatars/app/2401/12/5ae68b6f-535d-47a8-af9b-b72873e3239e.jpg
我反派男配，她们却眼冒爱心？,贪睡的肥鱼,70046,120431,https://rss.sfacg.com/web/account/images/avatars/app/2212/30/964c2bcd-954b-4d9a-b05c-43da77fa229e.jpg
冷淡魅惑魔不想被妻子怀疑,虾呀,336334,115086,https://rss.sfacg.com/web/account/images/avatars/app/2404/07/6fd0e483-7443-483c-8d1a-cf33e080e731.jpg
都市怪谈症候群,飞鸟印,102323,83129,https://rss.sfacg.com/web/account/images/avatars/pc/2207/16/e461d1d7-5bd7-40c7-8219-6b89a681332d.jpg
重生后，我在幼儿园给青梅当家教,无名古董,18285,96367,https://rss.sfacg.com/web/account/images/avatars/app/2506/08/212537a8-3f3c-4a80-9f4b-18e39c8b3a5f.jpg
师尊消失后，她们对我出手了,天启御宅,272188,118604,https://rss.sfacg.com/web/account/images/avatars/pc/2505/28/57ba05f2-12a9-4bd3-b7a7-4d97ede585ac.jpg
